TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Theft from Vehicle,2016,1,19,18.0,0.0,E GEORGIA ST / GORE AVE,Strathcona,492939.98,5458424.1
Theft from Vehicle,2016,4,22,20.0,30.0,E GEORGIA ST / GORE AVE,Strathcona,492939.98,5458424.1
Theft from Vehicle,2016,5,12,19.0,30.0,E GEORGIA ST / GORE AVE,Strathcona,492939.98,5458424.1
Theft from Vehicle,2016,9,3,19.0,10.0,E GEORGIA ST / GORE AVE,Strathcona,492939.98,5458424.1
Theft from Vehicle,2016,10,24,3.0,0.0,E GEORGIA ST / GORE AVE,Strathcona,492939.98,5458424.1
Other Theft,2016,1,16,16.0,17.0,23XX CAMBIE ST,Mount Pleasant,491656.42,5456901.55
Theft from Vehicle,2016,2,21,0.0,0.0,7XX E CORDOVA ST,Strathcona,493547.8,5458822.51
Theft from Vehicle,2016,7,5,19.0,0.0,5XX TAYLOR ST,Central Business District,492323.48,5458662.46
Other Theft,2016,1,22,10.0,6.0,23XX CAMBIE ST,Mount Pleasant,491656.42,5456901.55
Other Theft,2016,1,22,10.0,39.0,23XX CAMBIE ST,Mount Pleasant,491656.42,5456901.55
Theft from Vehicle,2016,9,26,17.0,0.0,7XX E CORDOVA ST,Strathcona,493547.8,5458822.51
Theft from Vehicle,2016,7,7,23.0,0.0,24XX MCMULLEN AVE,Arbutus Ridge,488320.78,5454930.93
Theft from Vehicle,2016,1,2,3.0,20.0,SEYMOUR ST / SMITHE ST,Central Business District,491242.02,5458550.53
Theft from Vehicle,2016,1,3,20.0,0.0,SEYMOUR ST / SMITHE ST,Central Business District,491242.02,5458550.53
Theft from Vehicle,2016,1,14,16.0,30.0,SEYMOUR ST / SMITHE ST,Central Business District,491242.02,5458550.53
Theft from Vehicle,2016,1,15,3.0,0.0,SEYMOUR ST / SMITHE ST,Central Business District,491242.02,5458550.53
Theft from Vehicle,2016,2,12,23.0,0.0,24XX MCMULLEN AVE,Arbutus Ridge,488261.44,5454906.0
Theft from Vehicle,2016,1,15,21.0,15.0,SEYMOUR ST / SMITHE ST,Central Business District,491242.02,5458550.53
Theft from Vehicle,2016,1,29,23.0,30.0,SEYMOUR ST / SMITHE ST,Central Business District,491242.02,5458550.53
Other Theft,2016,5,13,18.0,2.0,17XX ROBSON ST,West End,490238.77,5459774.05
